,sequence,coordination_inaccuracy,global_accuracy,global_inaccuracy,information_motion_tau,pad_actions,participant_motion_tau,performance,spatial_inaccuracy,switch_actions,temporal_inaccuracy,trigger_actions,file_id
0,wave0,1.0,4.0,8.0,0.1547157127423247,1.0,0.6029852305468191,0.05,7.0,1.0,0.0,11.0,664da983-45fe-43f0-8470-2f391c763707
1,wave1,6.0,12.0,19.0,2.0266106692693286,7.0,1.432367567829739,0.24,13.0,4.0,0.0,24.0,664da983-45fe-43f0-8470-2f391c763707
2,wave2,4.0,13.0,18.0,1.7222451039133548,6.0,1.3529533289699591,0.27,14.0,2.0,0.0,25.0,664da983-45fe-43f0-8470-2f391c763707
3,wave3,7.0,13.0,14.0,1.490757307797985,4.0,1.3564346572641113,0.24,7.0,3.0,0.0,23.0,664da983-45fe-43f0-8470-2f391c763707
4,wave4,10.0,20.0,25.0,1.328042081077002,10.0,1.6775198705519863,0.27,15.0,5.0,0.0,35.0,664da983-45fe-43f0-8470-2f391c763707
5,wave5,6.0,19.0,19.0,2.0611224424405683,7.0,1.3832281219431484,0.3,13.0,4.0,0.0,31.0,664da983-45fe-43f0-8470-2f391c763707
6,wave0,4.0,3.0,10.0,0.32846496273026254,7.0,0.33509135109311566,0.05,6.0,3.0,0.0,6.0,446bf31e-8ed0-415e-8009-326c4d3f3342
7,wave1,6.0,7.0,18.0,0.46656122953787593,13.0,0.5440463228323469,0.08,12.0,6.0,0.0,12.0,446bf31e-8ed0-415e-8009-326c4d3f3342
8,wave2,15.0,12.0,35.0,1.8329333612469727,26.0,1.0706441386524073,0.27,19.0,11.0,1.0,21.0,446bf31e-8ed0-415e-8009-326c4d3f3342
9,wave3,17.0,12.0,37.0,2.7318367746734755,23.0,0.8762757373956558,0.3,20.0,9.0,0.0,26.0,446bf31e-8ed0-415e-8009-326c4d3f3342
10,wave4,17.0,17.0,39.0,1.5868423637673754,30.0,0.8124476170851379,0.3,20.0,12.0,2.0,26.0,446bf31e-8ed0-415e-8009-326c4d3f3342
11,wave5,20.0,17.0,39.0,1.3639125396660217,32.0,0.998198618081071,0.27,18.0,13.0,1.0,24.0,446bf31e-8ed0-415e-8009-326c4d3f3342
12,wave0,0.0,3.0,7.0,0.5100402660265851,0.0,0.6066013957742981,0.05,7.0,0.0,0.0,10.0,6389ea5f-e258-4596-ae7c-1759cc866087
13,wave1,0.0,7.0,0.0,0.5307376814460268,2.0,0.6264594263572965,0.08,0.0,1.0,0.0,5.0,6389ea5f-e258-4596-ae7c-1759cc866087
14,wave2,2.0,11.0,14.0,2.098016749299933,6.0,0.8698105258089441,0.27,11.0,3.0,1.0,19.0,6389ea5f-e258-4596-ae7c-1759cc866087
15,wave3,0.0,15.0,10.0,2.1546747237592814,9.0,1.0446961080578576,0.27,10.0,4.0,0.0,16.0,6389ea5f-e258-4596-ae7c-1759cc866087
16,wave4,2.0,14.0,16.0,2.951089517983384,12.0,1.0598589862517316,0.3,14.0,6.0,0.0,18.0,6389ea5f-e258-4596-ae7c-1759cc866087
17,wave5,0.0,17.0,19.0,1.6923219017487996,13.0,0.8237622815098117,0.3,18.0,5.0,1.0,23.0,6389ea5f-e258-4596-ae7c-1759cc866087
18,wave0,0.0,3.0,0.0,0.4023434985655347,0.0,0.37131856742336783,0.05,0.0,0.0,0.0,3.0,2c5e46d2-f522-4ca8-a09d-115ac682c7f4
19,wave1,4.0,3.0,13.0,0.5119607714363654,0.0,0.5126236272515123,0.08,9.0,0.0,0.0,16.0,2c5e46d2-f522-4ca8-a09d-115ac682c7f4
20,wave2,0.0,3.0,3.0,0.7176614366857768,0.0,0.6169994498338096,0.07,3.0,0.0,0.0,6.0,2c5e46d2-f522-4ca8-a09d-115ac682c7f4
21,wave3,0.0,4.0,69.0,0.29375104323202944,69.0,0.9518877915010089,0.05,69.0,4.0,0.0,4.0,2c5e46d2-f522-4ca8-a09d-115ac682c7f4
22,wave4,28.0,11.0,78.0,1.4440665353173496,48.0,1.2431463941891363,0.24,35.0,7.0,15.0,41.0,2c5e46d2-f522-4ca8-a09d-115ac682c7f4
23,wave5,28.0,15.0,125.0,1.8088745519819014,74.0,2.3231918695647944,0.27,72.0,9.0,25.0,66.0,2c5e46d2-f522-4ca8-a09d-115ac682c7f4
24,wave0,11.0,1.0,20.0,0.3341914666380219,0.0,0.34617365599857786,0.05,9.0,0.0,0.0,21.0,cb64fa17-8457-4c3c-9244-c809bf5ea688
25,wave1,9.0,7.0,26.0,0.13934856629134706,9.0,0.3880463067017234,0.05,14.0,3.0,3.0,24.0,cb64fa17-8457-4c3c-9244-c809bf5ea688
26,wave2,8.0,9.0,23.0,1.8104341742533403,11.0,0.40160175392447534,0.24,14.0,4.0,1.0,21.0,cb64fa17-8457-4c3c-9244-c809bf5ea688
27,wave3,6.0,6.0,17.0,1.895841788766923,11.0,0.603564280896694,0.24,8.0,4.0,3.0,12.0,cb64fa17-8457-4c3c-9244-c809bf5ea688
28,wave4,9.0,7.0,24.0,1.6685605261452459,8.0,0.9839710314049199,0.22,14.0,3.0,1.0,23.0,cb64fa17-8457-4c3c-9244-c809bf5ea688
29,wave5,3.0,10.0,26.0,0.8006474592616664,15.0,0.7683144774258729,0.09,18.0,3.0,5.0,21.0,cb64fa17-8457-4c3c-9244-c809bf5ea688
30,wave0,0.0,4.0,9.0,0.518047805207808,2.0,0.5385442806176572,0.05,9.0,2.0,0.0,11.0,44f7f460-fd9a-4755-bfb8-bb86390ffb15
31,wave1,8.0,13.0,21.0,1.5916194268960826,19.0,0.9919054676821378,0.24,12.0,8.0,1.0,15.0,44f7f460-fd9a-4755-bfb8-bb86390ffb15
32,wave2,3.0,11.0,11.0,2.1563459692696547,12.0,0.596222648062398,0.27,7.0,4.0,1.0,10.0,44f7f460-fd9a-4755-bfb8-bb86390ffb15
33,wave3,5.0,11.0,9.0,2.038719582020087,6.0,0.9022273174769081,0.24,4.0,3.0,0.0,14.0,44f7f460-fd9a-4755-bfb8-bb86390ffb15
34,wave4,5.0,7.0,17.0,2.063477942178894,4.0,0.9758411273075042,0.27,12.0,2.0,0.0,20.0,44f7f460-fd9a-4755-bfb8-bb86390ffb15
35,wave5,5.0,11.0,14.0,1.3029622583042504,7.0,0.7016115753877898,0.2,9.0,3.0,0.0,18.0,44f7f460-fd9a-4755-bfb8-bb86390ffb15
36,wave0,1.0,3.0,1.0,0.3846001906097786,0.0,0.3645927254877949,0.05,0.0,0.0,0.0,4.0,4a058b26-6b6e-4b5d-9bb1-bc618393062e
37,wave1,2.0,5.0,2.0,0.769357486235772,0.0,0.5256110988360372,0.08,0.0,0.0,0.0,7.0,4a058b26-6b6e-4b5d-9bb1-bc618393062e
38,wave2,0.0,7.0,0.0,0.58962927347169,0.0,0.6620050200722333,0.11,0.0,0.0,0.0,7.0,4a058b26-6b6e-4b5d-9bb1-bc618393062e
39,wave3,5.0,6.0,8.0,1.2289252416026892,0.0,0.7571116356803308,0.14,3.0,0.0,0.0,14.0,4a058b26-6b6e-4b5d-9bb1-bc618393062e
40,wave4,0.0,6.0,18.0,1.6930217741298965,0.0,1.170093013114235,0.16,18.0,0.0,0.0,24.0,4a058b26-6b6e-4b5d-9bb1-bc618393062e
41,wave5,4.0,8.0,12.0,0.740780677496556,0.0,0.7759562390565837,0.12,8.0,0.0,0.0,20.0,4a058b26-6b6e-4b5d-9bb1-bc618393062e
42,wave0,11.0,4.0,15.0,0.3034540817555065,1.0,0.30675764460642385,0.05,4.0,1.0,0.0,18.0,3e082b99-524d-4c81-a9f6-048d4a622d01
43,wave1,6.0,9.0,17.0,1.9060131053853953,9.0,1.4135156924758012,0.24,9.0,5.0,2.0,17.0,3e082b99-524d-4c81-a9f6-048d4a622d01
44,wave2,15.0,17.0,32.0,1.3928511267689763,15.0,1.5059613976229462,0.24,16.0,6.0,1.0,34.0,3e082b99-524d-4c81-a9f6-048d4a622d01
45,wave3,14.0,13.0,24.0,1.584762680763219,15.0,1.2081228269622308,0.24,8.0,8.0,2.0,22.0,3e082b99-524d-4c81-a9f6-048d4a622d01
46,wave4,28.0,14.0,59.0,1.662398483809048,27.0,1.3934181893803965,0.27,30.0,7.0,1.0,46.0,3e082b99-524d-4c81-a9f6-048d4a622d01
47,wave5,41.0,15.0,80.0,1.368468151876271,20.0,1.7863938912342938,0.27,39.0,10.0,0.0,75.0,3e082b99-524d-4c81-a9f6-048d4a622d01
48,wave0,10.0,3.0,24.0,0.44140670520632025,10.0,1.227575349661365,0.05,14.0,4.0,0.0,17.0,39cf3cd7-5b55-4e21-a182-45eed67f5766
49,wave1,8.0,6.0,22.0,0.8842040374198283,13.0,1.4357272688065315,0.08,14.0,4.0,0.0,15.0,39cf3cd7-5b55-4e21-a182-45eed67f5766
50,wave2,32.0,12.0,43.0,0.5266306629629167,11.0,1.859441121326509,0.15,11.0,4.0,0.0,44.0,39cf3cd7-5b55-4e21-a182-45eed67f5766
51,wave3,15.0,21.0,32.0,1.872866328071134,11.0,1.8997019784956855,0.34,16.0,5.0,1.0,42.0,39cf3cd7-5b55-4e21-a182-45eed67f5766
52,wave4,20.0,19.0,41.0,3.011233432302837,7.0,2.4946856007860077,0.41,20.0,4.0,1.0,53.0,39cf3cd7-5b55-4e21-a182-45eed67f5766
53,wave5,15.0,25.0,48.0,2.5621072865367633,11.0,1.861287211428247,0.41,33.0,5.0,0.0,62.0,39cf3cd7-5b55-4e21-a182-45eed67f5766
54,wave0,1.0,4.0,1.0,0.42436276429012343,1.0,0.42436276429012343,0.05,0.0,1.0,0.0,4.0,49ede77e-d2eb-4264-84e2-ac654f795b4f
55,wave1,8.0,14.0,23.0,1.2614740144858634,9.0,1.1766011876274545,0.24,15.0,6.0,0.0,28.0,49ede77e-d2eb-4264-84e2-ac654f795b4f
56,wave2,3.0,15.0,28.0,1.980947321262028,12.0,1.2530430683696434,0.27,25.0,8.0,0.0,31.0,49ede77e-d2eb-4264-84e2-ac654f795b4f
57,wave3,0.0,15.0,16.0,2.239970032911387,8.0,1.264324338997397,0.27,16.0,6.0,0.0,23.0,49ede77e-d2eb-4264-84e2-ac654f795b4f
58,wave4,2.0,21.0,21.0,1.8222911297818813,13.0,1.4639509267943065,0.3,19.0,8.0,0.0,29.0,49ede77e-d2eb-4264-84e2-ac654f795b4f
59,wave5,1.0,26.0,7.0,1.9679398594496786,14.0,1.524349974606848,0.32,6.0,8.0,0.0,19.0,49ede77e-d2eb-4264-84e2-ac654f795b4f
60,wave0,0.0,4.0,0.0,0.2757711120663541,1.0,0.2757711120663541,0.05,0.0,1.0,0.0,3.0,0f92f7f0-822b-48c0-9fc8-955ed3f9ffbd
61,wave1,0.0,9.0,11.0,1.9653020348236414,7.0,0.8262291936276984,0.24,10.0,2.0,1.0,13.0,0f92f7f0-822b-48c0-9fc8-955ed3f9ffbd
62,wave2,2.0,9.0,14.0,1.3515417765947246,5.0,0.6113185357826353,0.24,12.0,3.0,0.0,18.0,0f92f7f0-822b-48c0-9fc8-955ed3f9ffbd
63,wave3,0.0,8.0,6.0,1.670267901303541,5.0,0.8037436684261495,0.18,6.0,3.0,0.0,9.0,0f92f7f0-822b-48c0-9fc8-955ed3f9ffbd
64,wave4,1.0,13.0,6.0,1.2695501382170298,8.0,0.728590833245151,0.2,5.0,4.0,0.0,11.0,0f92f7f0-822b-48c0-9fc8-955ed3f9ffbd
65,wave5,2.0,14.0,19.0,1.3057262011790203,9.0,0.9773738439935774,0.2,17.0,6.0,0.0,24.0,0f92f7f0-822b-48c0-9fc8-955ed3f9ffbd
66,wave0,54.0,4.0,61.0,0.2930615339976832,1.0,0.39090956146554984,0.05,7.0,1.0,0.0,64.0,d1e578ac-ebb3-4c86-b7d5-087195aba2f0
67,wave1,66.0,9.0,85.0,1.4011775675366571,4.0,0.6052798534365827,0.24,18.0,3.0,1.0,90.0,d1e578ac-ebb3-4c86-b7d5-087195aba2f0
68,wave2,59.0,12.0,98.0,1.942338580288337,14.0,1.187086305531114,0.24,37.0,4.0,2.0,96.0,d1e578ac-ebb3-4c86-b7d5-087195aba2f0
69,wave3,67.0,11.0,99.0,1.093672113837289,10.0,1.2097491636802424,0.18,29.0,3.0,3.0,100.0,d1e578ac-ebb3-4c86-b7d5-087195aba2f0
70,wave4,81.0,14.0,124.0,1.4203951263995145,22.0,1.034290249450529,0.24,41.0,6.0,2.0,116.0,d1e578ac-ebb3-4c86-b7d5-087195aba2f0
71,wave5,61.0,18.0,127.0,1.7870179401983033,38.0,1.3987299118788619,0.27,57.0,18.0,9.0,107.0,d1e578ac-ebb3-4c86-b7d5-087195aba2f0
72,wave0,4.0,4.0,4.0,0.37593405726704937,1.0,0.37593405726704937,0.05,0.0,1.0,0.0,7.0,a89be86e-2867-4a23-b383-cdf1ed50c3f2
73,wave1,1.0,12.0,10.0,2.2218798581679438,12.0,1.3070507893126329,0.24,3.0,4.0,6.0,10.0,a89be86e-2867-4a23-b383-cdf1ed50c3f2
74,wave2,0.0,14.0,13.0,1.7721813859343902,12.0,0.9480475986541667,0.27,11.0,5.0,2.0,15.0,a89be86e-2867-4a23-b383-cdf1ed50c3f2
75,wave3,0.0,14.0,18.0,1.9628159638858578,7.0,1.3753004089548144,0.27,18.0,6.0,0.0,25.0,a89be86e-2867-4a23-b383-cdf1ed50c3f2
76,wave4,3.0,14.0,27.0,1.9276625348997203,13.0,1.168149142185425,0.3,24.0,6.0,0.0,28.0,a89be86e-2867-4a23-b383-cdf1ed50c3f2
77,wave5,5.0,14.0,22.0,1.7608345926910371,14.0,0.9205224961965118,0.27,16.0,5.0,1.0,22.0,a89be86e-2867-4a23-b383-cdf1ed50c3f2
78,wave0,0.0,2.0,3.0,0.6495179007424391,0.0,0.49213722626346645,0.05,3.0,0.0,0.0,5.0,d52e22f3-3648-4984-b411-64dc6c4fbc60
79,wave1,0.0,6.0,4.0,0.2786793197120732,4.0,0.43719660953452305,0.05,4.0,3.0,0.0,6.0,d52e22f3-3648-4984-b411-64dc6c4fbc60
80,wave2,0.0,8.0,10.0,1.9613814683954636,9.0,0.6038765357478443,0.24,9.0,2.0,1.0,9.0,d52e22f3-3648-4984-b411-64dc6c4fbc60
81,wave3,1.0,13.0,11.0,1.7866532718434769,14.0,0.9944937961548317,0.24,8.0,4.0,2.0,10.0,d52e22f3-3648-4984-b411-64dc6c4fbc60
82,wave4,4.0,17.0,12.0,1.7802194224449952,12.0,1.2164370750374929,0.27,6.0,4.0,2.0,17.0,d52e22f3-3648-4984-b411-64dc6c4fbc60
83,wave5,2.0,17.0,14.0,2.462691059733517,11.0,0.9649923164294575,0.3,12.0,6.0,0.0,20.0,d52e22f3-3648-4984-b411-64dc6c4fbc60
84,wave6,0.0,4.0,0.0,0.4835464562144348,1.0,0.4835464562144348,0.05,0.0,1.0,0.0,3.0,44bec299-03c9-4ee7-89f2-3b217b1128c1
85,wave7,2.0,18.0,6.0,1.197982344389937,7.0,1.2974120841148091,0.24,4.0,6.0,0.0,17.0,44bec299-03c9-4ee7-89f2-3b217b1128c1
86,wave8,2.0,18.0,22.0,2.991911221052269,6.0,1.5129444192255013,0.43,20.0,5.0,0.0,34.0,44bec299-03c9-4ee7-89f2-3b217b1128c1
87,wave9,4.0,24.0,15.0,2.849644113053566,6.0,1.6657171524920062,0.43,11.0,5.0,0.0,33.0,44bec299-03c9-4ee7-89f2-3b217b1128c1
88,wave10,3.0,22.0,18.0,2.5529531390352123,9.0,1.4796461379536558,0.46,15.0,3.0,0.0,31.0,44bec299-03c9-4ee7-89f2-3b217b1128c1
89,wave11,1.0,25.0,23.0,3.19498466373069,10.0,1.6645089384493728,0.46,22.0,4.0,0.0,38.0,44bec299-03c9-4ee7-89f2-3b217b1128c1
90,wave0,1.0,4.0,1.0,0.13443739162057045,1.0,0.13443739162057045,0.05,0.0,1.0,0.0,4.0,a0036a5d-eb17-4c01-8215-b3b75fc5f649
91,wave1,2.0,12.0,19.0,1.5820519942986475,10.0,1.2765291012404851,0.24,14.0,3.0,3.0,21.0,a0036a5d-eb17-4c01-8215-b3b75fc5f649
92,wave2,1.0,18.0,11.0,1.3194208932935858,10.0,0.714388286524358,0.27,10.0,6.0,0.0,19.0,a0036a5d-eb17-4c01-8215-b3b75fc5f649
93,wave3,3.0,18.0,13.0,1.686801574678274,10.0,1.4186231987341344,0.3,9.0,7.0,1.0,21.0,a0036a5d-eb17-4c01-8215-b3b75fc5f649
94,wave4,4.0,23.0,20.0,2.4327467895115005,13.0,1.3454577483842973,0.36,16.0,8.0,0.0,30.0,a0036a5d-eb17-4c01-8215-b3b75fc5f649
95,wave5,3.0,25.0,29.0,2.456325515959097,16.0,1.6193651574811576,0.39,26.0,11.0,0.0,38.0,a0036a5d-eb17-4c01-8215-b3b75fc5f649
96,wave0,1.0,4.0,5.0,0.2655251944355975,1.0,0.27217055483138675,0.05,4.0,1.0,0.0,8.0,8e92101e-f40b-4eea-842e-c8c022e500ee
97,wave1,3.0,13.0,15.0,1.5072823196270115,10.0,0.8757030615064316,0.24,11.0,6.0,1.0,18.0,8e92101e-f40b-4eea-842e-c8c022e500ee
98,wave2,2.0,19.0,17.0,1.401479742047568,14.0,1.1466994630849598,0.27,14.0,5.0,1.0,22.0,8e92101e-f40b-4eea-842e-c8c022e500ee
99,wave3,4.0,16.0,27.0,1.8603838210160517,7.0,1.4060950220027095,0.3,23.0,5.0,0.0,36.0,8e92101e-f40b-4eea-842e-c8c022e500ee
100,wave4,5.0,16.0,36.0,1.796106657493048,11.0,0.9937649990962281,0.32,31.0,6.0,0.0,41.0,8e92101e-f40b-4eea-842e-c8c022e500ee
101,wave5,3.0,16.0,17.0,2.2338637121959932,8.0,1.1818874878269183,0.32,14.0,5.0,0.0,25.0,8e92101e-f40b-4eea-842e-c8c022e500ee
102,wave0,8.0,3.0,16.0,0.3007075872935915,5.0,0.28077054441292415,0.05,8.0,2.0,0.0,14.0,cff0557a-060a-4263-bbfc-ca9bec20df86
103,wave1,9.0,6.0,17.0,1.223708195796953,10.0,1.1274787157212005,0.08,8.0,4.0,0.0,13.0,cff0557a-060a-4263-bbfc-ca9bec20df86
104,wave2,8.0,10.0,14.0,1.2642264357565967,13.0,1.3542565488081646,0.15,4.0,5.0,2.0,11.0,cff0557a-060a-4263-bbfc-ca9bec20df86
105,wave3,13.0,13.0,24.0,1.883458779023835,11.0,1.7722672576558174,0.22,10.0,5.0,1.0,26.0,cff0557a-060a-4263-bbfc-ca9bec20df86
106,wave4,12.0,16.0,34.0,2.4577615852476407,16.0,1.9361840465159568,0.28,21.0,6.0,1.0,34.0,cff0557a-060a-4263-bbfc-ca9bec20df86
107,wave5,19.0,12.0,37.0,3.0186670482186497,17.0,1.435162329969194,0.31,18.0,7.0,0.0,32.0,cff0557a-060a-4263-bbfc-ca9bec20df86
108,wave0,2.0,1.0,8.0,0.38546275136979696,0.0,0.31527053178035874,0.05,6.0,0.0,0.0,9.0,250d4740-9fe9-407d-8fc4-0010a7998c8c
109,wave1,2.0,7.0,22.0,0.16815424073114793,13.0,0.5134474332923191,0.05,15.0,2.0,5.0,16.0,250d4740-9fe9-407d-8fc4-0010a7998c8c
110,wave2,4.0,11.0,22.0,1.4287287283733165,4.0,0.7400870384321955,0.24,16.0,1.0,2.0,29.0,250d4740-9fe9-407d-8fc4-0010a7998c8c
111,wave3,1.0,15.0,6.0,1.297355126764576,6.0,1.1197033616591965,0.27,5.0,2.0,0.0,15.0,250d4740-9fe9-407d-8fc4-0010a7998c8c
112,wave4,10.0,6.0,44.0,2.3266903054044477,20.0,0.9134695171993595,0.3,33.0,4.0,1.0,30.0,250d4740-9fe9-407d-8fc4-0010a7998c8c
113,wave5,4.0,10.0,22.0,1.7865071815283802,9.0,0.6830277055688071,0.23,18.0,4.0,0.0,23.0,250d4740-9fe9-407d-8fc4-0010a7998c8c
114,wave0,0.0,4.0,0.0,0.4057005562846243,1.0,0.4057005562846243,0.05,0.0,1.0,0.0,3.0,bedd6957-f445-4596-ae10-5ed2c96e6aff
115,wave1,2.0,17.0,2.0,1.8987022964697624,8.0,1.4925224537497175,0.24,0.0,6.0,0.0,11.0,bedd6957-f445-4596-ae10-5ed2c96e6aff
116,wave2,2.0,23.0,9.0,2.055138739343933,10.0,1.475641015808518,0.35,7.0,7.0,0.0,22.0,bedd6957-f445-4596-ae10-5ed2c96e6aff
117,wave3,3.0,22.0,20.0,2.9232935263150015,9.0,1.9802672467155844,0.42,17.0,6.0,0.0,33.0,bedd6957-f445-4596-ae10-5ed2c96e6aff
118,wave4,9.0,22.0,35.0,2.7076881662524115,18.0,1.6105051171917653,0.45,25.0,8.0,1.0,39.0,bedd6957-f445-4596-ae10-5ed2c96e6aff
119,wave5,14.0,30.0,64.0,2.2174220049224536,17.0,2.4235750667529685,0.42,50.0,6.0,0.0,77.0,bedd6957-f445-4596-ae10-5ed2c96e6aff
120,wave0,10.0,4.0,27.0,0.28390032661959125,17.0,0.42296847447833996,0.05,17.0,8.0,0.0,14.0,4d592776-3d2b-43c6-a8c7-8716c154042f
121,wave1,14.0,11.0,73.0,1.6239147025731646,32.0,0.7454757183099774,0.24,48.0,23.0,11.0,52.0,4d592776-3d2b-43c6-a8c7-8716c154042f
122,wave2,27.0,15.0,80.0,1.637120125685246,45.0,0.8930065214291361,0.27,46.0,27.0,7.0,50.0,4d592776-3d2b-43c6-a8c7-8716c154042f
123,wave3,33.0,9.0,89.0,2.4078744658231312,47.0,1.2214053849679085,0.27,52.0,28.0,4.0,51.0,4d592776-3d2b-43c6-a8c7-8716c154042f
124,wave4,40.0,16.0,92.0,1.6102085975234466,52.0,1.0617303032118357,0.27,46.0,31.0,6.0,56.0,4d592776-3d2b-43c6-a8c7-8716c154042f
125,wave5,28.0,12.0,85.0,1.6950297762390234,43.0,1.0864354032917303,0.24,49.0,27.0,8.0,54.0,4d592776-3d2b-43c6-a8c7-8716c154042f
126,wave0,0.0,3.0,0.0,0.49562727034648385,0.0,0.29092320102833374,0.05,0.0,0.0,0.0,3.0,bed614d1-6303-4fda-bac0-2b23d682330f
127,wave1,2.0,3.0,11.0,1.0264788732053898,0.0,0.7403116279077304,0.08,9.0,0.0,0.0,14.0,bed614d1-6303-4fda-bac0-2b23d682330f
128,wave2,1.0,4.0,6.0,0.3505448886350198,1.0,0.3466147725213605,0.07,5.0,1.0,0.0,9.0,bed614d1-6303-4fda-bac0-2b23d682330f
129,wave3,0.0,0.0,4.0,1.05605687830018,0.0,0.9718896218414929,0.05,4.0,0.0,0.0,4.0,bed614d1-6303-4fda-bac0-2b23d682330f
130,wave4,0.0,8.0,11.0,0.3772811474729491,15.0,0.9319870827472784,0.05,7.0,3.0,4.0,4.0,bed614d1-6303-4fda-bac0-2b23d682330f
131,wave5,1.0,5.0,10.0,1.913636162026708,4.0,0.3900839410292728,0.24,8.0,2.0,1.0,11.0,bed614d1-6303-4fda-bac0-2b23d682330f
132,wave0,3.0,4.0,5.0,98.79180142790416,7.0,155.34212300257957,0.05,2.0,1.0,0.0,2.0,1576fb6f-636c-4715-92ce-51059dce0f9d
133,wave1,11.0,10.0,22.0,397.549334310888,11.0,250.6005010577733,0.24,10.0,3.0,1.0,21.0,1576fb6f-636c-4715-92ce-51059dce0f9d
134,wave2,27.0,8.0,40.0,420.1818020234688,9.0,223.70927625137404,0.24,13.0,3.0,0.0,39.0,1576fb6f-636c-4715-92ce-51059dce0f9d
135,wave3,19.0,7.0,19.0,370.6814008268324,4.0,183.11726138008163,0.18,0.0,3.0,0.0,22.0,1576fb6f-636c-4715-92ce-51059dce0f9d
136,wave4,29.0,9.0,39.0,0.09999924373646948,5.0,0.07374280930162685,0.18,10.0,4.0,0.0,43.0,1576fb6f-636c-4715-92ce-51059dce0f9d
137,wave5,29.0,7.0,44.0,0.9153988981107076,4.0,0.7355964614071308,0.15,15.0,2.0,0.0,47.0,1576fb6f-636c-4715-92ce-51059dce0f9d
138,wave0,1.0,4.0,1.0,0.6093495241586929,1.0,0.6093495241586929,0.05,0.0,1.0,0.0,4.0,1efd5ff3-4e0f-4456-9861-490179e00930
139,wave1,2.0,12.0,21.0,2.022729089905438,15.0,1.1247542592332196,0.24,14.0,4.0,5.0,18.0,1efd5ff3-4e0f-4456-9861-490179e00930
140,wave2,0.0,17.0,18.0,1.6679231694927532,9.0,0.903666195795332,0.27,18.0,6.0,0.0,26.0,1efd5ff3-4e0f-4456-9861-490179e00930
141,wave3,3.0,18.0,9.0,2.146554806401522,9.0,1.2536549894997295,0.27,6.0,7.0,0.0,18.0,1efd5ff3-4e0f-4456-9861-490179e00930
142,wave4,0.0,25.0,17.0,2.378320812614857,14.0,1.5692749265816273,0.38,16.0,6.0,1.0,28.0,1efd5ff3-4e0f-4456-9861-490179e00930
143,wave5,14.0,10.0,49.0,3.714652863928413,33.0,1.1826633724036908,0.45,32.0,6.0,3.0,26.0,1efd5ff3-4e0f-4456-9861-490179e00930
144,wave0,4.0,4.0,15.0,0.2762900902235862,7.0,0.6387973326612449,0.05,9.0,3.0,2.0,12.0,3996ce9e-2e9c-43ec-a97e-2374135d5563
145,wave1,8.0,9.0,21.0,1.8419996064152422,18.0,0.8167684519315135,0.24,7.0,4.0,6.0,12.0,3996ce9e-2e9c-43ec-a97e-2374135d5563
146,wave2,11.0,12.0,43.0,1.6420238509687644,18.0,1.5456132281517032,0.24,24.0,3.0,8.0,37.0,3996ce9e-2e9c-43ec-a97e-2374135d5563
147,wave3,8.0,13.0,23.0,1.4716043908598764,11.0,1.8098110371310105,0.18,14.0,7.0,1.0,25.0,3996ce9e-2e9c-43ec-a97e-2374135d5563
148,wave4,2.0,22.0,20.0,2.8713240180341666,21.0,1.4406816229369421,0.36,12.0,7.0,6.0,21.0,3996ce9e-2e9c-43ec-a97e-2374135d5563
149,wave5,1.0,26.0,10.0,2.982438240927531,17.0,1.5965459531399424,0.43,6.0,9.0,3.0,19.0,3996ce9e-2e9c-43ec-a97e-2374135d5563
150,wave0,6.0,2.0,12.0,0.24856058130284317,7.0,0.277534236816622,0.05,6.0,4.0,0.0,7.0,6e044f1d-8a1d-4672-bde7-130a1f73d8ef
151,wave1,2.0,6.0,10.0,0.23979170795129426,10.0,0.3941756884745517,0.05,5.0,2.0,3.0,6.0,6e044f1d-8a1d-4672-bde7-130a1f73d8ef
152,wave2,14.0,7.0,34.0,1.6255574237483956,22.0,0.7755854257952325,0.24,17.0,8.0,3.0,19.0,6e044f1d-8a1d-4672-bde7-130a1f73d8ef
153,wave3,15.0,9.0,25.0,1.541226649662957,6.0,1.1624615943876158,0.22,9.0,3.0,1.0,28.0,6e044f1d-8a1d-4672-bde7-130a1f73d8ef
154,wave4,14.0,2.0,20.0,2.330453129632328,2.0,1.0716883324372173,0.22,6.0,1.0,0.0,20.0,6e044f1d-8a1d-4672-bde7-130a1f73d8ef
155,wave5,9.0,4.0,19.0,1.1341394195190504,3.0,0.7292030748806322,0.09,10.0,2.0,0.0,20.0,6e044f1d-8a1d-4672-bde7-130a1f73d8ef
156,wave0,1.0,3.0,1.0,0.6436352812608868,0.0,0.42840942459141074,0.05,0.0,0.0,0.0,4.0,81699821-4219-48ff-91ff-96ba23f74f41
157,wave1,1.0,7.0,8.0,0.45429536646699215,5.0,0.7301276573074994,0.08,7.0,2.0,0.0,10.0,81699821-4219-48ff-91ff-96ba23f74f41
158,wave2,3.0,12.0,13.0,2.104396854092293,10.0,1.1678483602384906,0.27,8.0,3.0,2.0,15.0,81699821-4219-48ff-91ff-96ba23f74f41
159,wave3,3.0,16.0,3.0,2.487508634027633,7.0,1.311333043288654,0.3,0.0,4.0,0.0,12.0,81699821-4219-48ff-91ff-96ba23f74f41
160,wave4,8.0,12.0,31.0,2.2015846764488947,17.0,0.8512357230869669,0.32,20.0,3.0,3.0,26.0,81699821-4219-48ff-91ff-96ba23f74f41
